id,url,createdTime,Scale,Required Content,Sheet ID,QA Criteria,Blocking Issue,Status,Primary Scope,Evidence Grade,Notes,Output,Type,Drawing
3c60b963-e600-8102-94a3-f4f1abc08d44,https://app.notion.com/3c60b963e600810294a3f4f1abc08d44,2026-08-24 06:15:02Z,1:500,"modern DEM, modern esplanade, Herodian pavement, ancient street, bedrock levels",G-02,each datum has source and uncertainty,reliable elevation sources,Researching,Herodian pavement/bedrock elevations,C,,"[""Notion"",""SVG"",""PDF""]",Terrain/Geo,Historical vertical datum sheet
3c60b963-e600-810f-8ee6-f40e72265c40,https://app.notion.com/3c60b963e600810f8ee6f40e72265c40,2026-08-24 06:15:02Z,1:100,"70c body decomposition, 20c interior, side cells/passages, 100c total vertical stack",S-03,70c decomposition exact,side-cell storeys and openings,Draft,Sanctuary cross-section,B,"v0.1 actual files verified/generated: Herod_Temple_S03_Sanctuary_NS_Section_v0_1.svg/.dxf/.png. QA: body N–S 70c; foundation-bottom to spike-top total 100c; working side-cell section uses Patrich/Ritmeyer reconstruction for 12c clear stories, 2c intermediate floors, stepped Hekhal walls and Upper Chamber lateral envelope. Raw Middot vertical chain remains hard control.","[""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,N-S section through Hekhal/Debir
3c60b963-e600-8135-accd-ea687cbe26a4,https://app.notion.com/3c60b963e6008135accdea687cbe26a4,2026-08-24 06:15:02Z,same as P-01,A/B/C/D or Locked/Variant/Hypothesis/Unresolved colored overlay,Q-01,no ungraded geometry remains,requires Structure Registry completion,Planned,Master plan,B,Required before Blender LOD1.,"[""Notion"",""SVG"",""PNG"",""PDF""]",QA Overlay,Evidence confidence overlay
3c60b963-e600-8136-b53c-e5c351dc7594,https://app.notion.com/3c60b963e6008136b53ce5c351dc7594,2026-08-24 06:15:02Z,1:100,"ALTAR_MID stepped profile, ramp slope, slaughter zone, north/south margins",S-02,32c altar and 32c ramp source dims preserved,"raw Middot leaves 25c split unresolved; ramp is 32c long by 16c wide in Middot 3:3, while N–S ground occupancy/ramp+altar closure is treated differently in Yoma/Rambam; absolute H0 Y not released",Draft,Altar + ramp + shambles,B,v0.1 generated: Herod_Temple_S02_Altar_NS_Constraint_Rambam_v0_1.svg/.dxf/.png + manifest. Sheet separates RAW MIDDOT 135c constraints from RAMBAM 12.5/12.5 allocation variant.,"[""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,N-S section through altar
3c60b963-e600-8138-9ce2-c2e3c51f8370,https://app.notion.com/3c60b963e60081389ce2c2e3c51f8370,2026-08-24 06:15:02Z,1:1000,"A/B/C control points, source, uncertainty radius, residual vectors, north/axis definitions",G-01,scale fixed 1.000; RMS reported,survey-grade coordinates,Researching,Temple Mount world placement,B,No code/runtime modification during research phase.,"[""Notion"",""SVG"",""PDF""]",Terrain/Geo,Geospatial control-point sheet
3c60b963-e600-8144-b7df-ff37bf560bd0,https://app.notion.com/3c60b963e6008144b7dfff37bf560bd0,2026-08-24 06:15:02Z,1:50,"20×40 Ulam, 10×20 Hekhal, wall thickness bands, door/no-door distinction",D-02,opening dimensions not confused with gatehouse dimensions,door leaf construction and ornament,Planned,Sanctuary openings,B,,"[""SVG"",""DXF"",""PDF""]",Detail,Ulam + Hekhal openings detail
3c60b963-e600-814c-b84e-d906f0b7b035,https://app.notion.com/3c60b963e600814cb84ed906f0b7b035,2026-08-24 06:15:02Z,1:200,"all court level changes, 15 steps, altar, 22c gap, 12 Ulam steps, sanctuary vertical stack",S-01,horizontal and vertical checksums both pass,Nicanor gatehouse depth/threshold and exact Israel→Priests transition horizontal platform remain unresolved; Women→Israel vertical/run chain now source-derived.,Draft,Women Court → Debir,B,"v0.1 generated: Herod_Temple_S01_Central_EW_Longitudinal_Section_v0_1.svg/.dxf + level manifest. Azarah X=-38…149c closes 187c. Working local levels: Priests -6c, Israel -8.5c (R. Eliezer variant), Women -16c, Hel -22c; Nicanor absolute X not released.","[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Section,Central E-W longitudinal section
3c60b963-e600-8163-a357-e71dafdc8e75,https://app.notion.com/3c60b963e6008163a357e71dafdc8e75,2026-08-24 06:15:02Z,1:100 / 1:50,"Middot standard 10×20, Josephus 15×30, Corinthian east gate variant, gatehouse unknown zones",P-05,opening dimension vs gatehouse dimension separated,gate identity mapping and house depths,Researching,Nicanor and inner gates,B,,"[""Notion"",""SVG"",""DXF"",""PDF""]",Plan,Gate system comparison plan
3c60b963-e600-816f-816d-d89b1448ba8d,https://app.notion.com/3c60b963e600816f816dd89b1448ba8d,2026-08-24 06:15:02Z,1:1000 / 1:500,"outer enclosure, 500c core hypothesis, sacred precinct axis, all primary access points, confidence line styles",P-00,no geometric rescale; all variants separated,survey-grade outer-wall polygon and axis lock,Researching,Temple Mount whole site,B,Primary site placement sheet.,"[""Notion"",""SVG"",""DXF"",""PDF"",""Blender Ref""]",Plan,Master site plan · Herodian enclosure + 500c core + sacred precinct
3c60b963-e600-817a-941c-d1bbf21ff57b,https://app.notion.com/3c60b963e600817a941cd1bbf21ff57b,2026-08-24 06:15:02Z,1:500,"wall, core-square relation, terrain/bedrock section markers, gate axis",E-03,modern wall observations vs reconstructed upper works separated,survey and historical level data,Researching,Eastern retaining wall / Shushan axis,B,,"[""Notion"",""SVG"",""DXF"",""PDF""]",Elevation,Temple Mount east elevation
