id,url,createdTime,Evidence ID,Status,Source Type,Grade,Source URL,Passage,Notes,Source,Structure,Claim,Variant,Evidence
3c60b963-e600-8117-a894-d256d899f98f,https://app.notion.com/3c60b963e6008117a894d256d899f98f,2026-08-24 05:25:18Z,E-MID-2.3,Cross-checked,Primary Text,B,https://www.sefaria.org/English_Explanation_of_Mishnah_Middot.2.3,2:3,Multiple dimensional claims retained as separate measurements.,Mishnah Middot,Soreg / Hel / court approaches,"Soreg 10 handbreadths high; Hel 10 cubits wide; 12 steps each 0.5 cubit high and 0.5 cubit tread; standard doorways 20 cubits high × 10 wide, except Porch.",Rabbinic dimensional tradition,"Middot 2:3 · Soreg, Hel, standard steps and gates"
3c60b963-e600-8125-9ba5-dd04599cbc3d,https://app.notion.com/3c60b963e60081259ba5dd04599cbc3d,2026-08-24 05:25:18Z,E-MID-5.1,Cross-checked,Primary Text,B,https://www.sefaria.org/English_Explanation_of_Mishnah_Middot.5.1,5:1,Acts as checksum for multiple earlier measurements.,Mishnah Middot,Inner court / axial sequence,"Whole courtyard 187×135 cubits; E-W sequence: Israel 11, Priests 11, altar 32, altar-to-Porch 22, Hekhal 100, rear 11.",Middot axial plan,Middot 5:1 · Whole inner court and E-W sequence
3c60b963-e600-812b-8988-de502332ceac,https://app.notion.com/3c60b963e600812b8988de502332ceac,2026-08-24 05:25:18Z,E-MID-2.6,Cross-checked,Primary Text,B,https://www.sefaria.org/English_Explanation_of_Mishnah_Middot.2.6.3,2:6,Elevation statement is a named opinion and should remain a variant.,Mishnah Middot,Court of Israel / Court of Priests,Each court 135 cubits long × 11 broad; elevation variant adds 1-cubit step plus three 0.5-cubit steps; whole court 187×135.,R. Eliezer ben Jacob elevation variant,Middot 2:6 · Israel and Priests Courts
3c60b963-e600-812b-8a3e-c4278ec1f297,https://app.notion.com/3c60b963e600812b8a3ec4278ec1f297,2026-08-24 05:25:18Z,E-MID-4.1,Cross-checked,Primary Text,B,https://www.sefaria.org/Mishnah_Middot.4.1,4:1,Door articulation remains variant; opening size is explicit.,Mishnah Middot,Hekhal entrance,Doorway of Hekhal 20 cubits high × 10 broad; four doors with alternative folding-door interpretation by R. Judah.,Door-leaf arrangement variants,Middot 4:1 · Hekhal doorway
3c60b963-e600-812e-85d7-ef89bcd48bc4,https://app.notion.com/3c60b963e600812e85d7ef89bcd48bc4,2026-08-24 05:25:18Z,E-MID-3.6,Cross-checked,Primary Text,B,https://www.sefaria.org/English_Explanation_of_Mishnah_Middot.3.6,3:6,Landing sequence differs in R. Judah; geometry should parameterize top landing.,Mishnah Middot,Between altar and Porch,"Distance altar-to-Porch 22 cubits; 12 steps, each 0.5 cubit high and 1 cubit broad, with landings; laver slightly south.",Anonymous / R. Judah landing variant,Middot 3:6 · Porch-to-altar zone
3c60b963-e600-814c-87e6-c984c92f69e8,https://app.notion.com/3c60b963e600814c87e6c984c92f69e8,2026-08-24 05:25:18Z,E-JOS-W5.222-226,Conflict,Primary Text,B,https://lexundria.com/j_bj/5.222-226/wst,5.222-226,Altar conflicts strongly with Middot 32×32 stepped altar; treat as explicit variant until reconciled.,"Josephus, Jewish War",Temple façade / altar / priest partition,Façade gold-plated and otherwise white; some stones 45×5×6 cubits; altar 50×50×15 cubits with ramp; priest partition about 1 cubit high.,Josephus altar and façade,"Josephus War 5.222–226 · Façade, stones, altar, partition"
3c60b963-e600-814d-be16-d661ef20f129,https://app.notion.com/3c60b963e600814dbe16d661ef20f129,2026-08-24 05:25:18Z,E-MID-3.3,Cross-checked,Primary Text,B,https://www.sefaria.org/Mishnah_Middot.3.6?with=Mishnah,3:3,Source page includes adjacent mishnayot; passage 3:3 retained in registry.,Mishnah Middot,Altar ramp / drainage,Ramp on south side of altar is 32 cubits long × 16 broad; SW service opening one cubit square.,Middot altar ramp,Middot 3:3 · Altar ramp
3c60b963-e600-8176-941a-ffa53711f1a6,https://app.notion.com/3c60b963e6008176941affa53711f1a6,2026-08-24 05:25:18Z,E-MID-2.1,Cross-checked,Primary Text,B,https://www.sefaria.org/Mishnah_Middot.1.9-2.1,2:1,Do not equate automatically with the entire Herodian enlarged enclosure.,Mishnah Middot,Temple Mount core,"Temple Mount is described as 500 cubits by 500 cubits; largest unused area south, then east, north, least west.",Middot 500-cubit core,Middot 2:1 · Temple Mount 500×500
3c60b963-e600-8178-b3e4-c4528e9f7a41,https://app.notion.com/3c60b963e6008178b3e4c4528e9f7a41,2026-08-24 05:25:18Z,E-MID-2.5,Cross-checked,Primary Text,B,https://www.sefaria.org/Mishnah_Middot.2.5,2:5,Balcony is described as a later alteration; model epoch must decide whether included.,Mishnah Middot,Court of Women,Court 135×135 cubits; four corner chambers each 40 cubits; 15 semicircular steps lead toward Court of Israel.,Middot court layout,Middot 2:5 · Court of Women
3c60b963-e600-819d-8781-eb54ea444507,https://app.notion.com/3c60b963e600819d8781eb54ea444507,2026-08-24 05:25:18Z,E-MID-3.1,Conflict,Primary Text,B,https://www.sefaria.org/English_Explanation_of_Mishnah_Middot.3.1.9,3:1,Conflicts materially with Josephus War 5.225 (50×50×15). Preserve both.,Mishnah Middot,Outer altar,Altar base 32×32 cubits; rises 1 and recedes 1 to 30×30; rises 5 and recedes 1 to 28×28; horns and priest walkway reduce upper usable area to 24×24.,Middot altar,Middot 3:1 · Altar geometry
