id,url,createdTime,Confidence,Variant,Source Value,Converted m,Source Unit,Measurement ID,Structure ID,Notes,Interpretation,Status,Evidence,Axis,Cubit Preset,Measurement
3c60b963-e600-8100-bb49-db117755aa80,https://app.notion.com/3c60b963e6008100bb49db117755aa80,2026-08-24 07:24:56Z,A,MID_ULAM_STEPS,0.5,0.2625,cubit,M-ULAM-STEP-RISE0_5C,ULAM-APPROACH,,Rise per step.,Locked,"[""https://app.notion.com/3c60b963e6008182abd1d79866c98995""]",Z/Height,0.525m,Altar→Ulam step rise · 0.5 cubit
3c60b963-e600-8101-9b48-f52100fd440a,https://app.notion.com/3c60b963e60081019b48f52100fd440a,2026-08-24 07:38:36Z,B,CELL-PATRICH-RITMEYER,61,32.025,cubit,M-CELL-PATRICH-NS-RUN61C,SANCT-CELLS-NS,5×9c cells + 4×4c divider walls =61c.,Scholarly reconstruction total run alongside Hekhal + separation + Debir.,Candidate,"[""https://app.notion.com/3c60b963e60081e2a794ed96e48b097a""]",X/E-W,0.525m,Patrich N/S cell longitudinal run · 61 cubits
3c60b963-e600-8103-8361-f1796017dd1f,https://app.notion.com/3c60b963e60081038361f1796017dd1f,2026-08-24 05:26:23Z,B,JOS_WAR5,1,0.525,cubit,M-PRIEST-PART-Z,PRIEST_PARTITION,Distinguish from Soreg.,Partition around holy house and altar in Josephus.,Candidate,"[""https://app.notion.com/3c60b963e600814c87e6c984c92f69e8""]",Z/Height,0.525m,Priest partition wall · 1 cubit
3c60b963-e600-8103-9cd1-fe6a1650eb1c,https://app.notion.com/3c60b963e60081039cd1fe6a1650eb1c,2026-08-24 06:16:04Z,B,HEIGHT_STD,3,1.575,cubit,M-SANCT-PARAPET-Z,SANCT_HEIGHT,Maintain HEIGHT_RJUDAH = 4c parapet as separate variant.,Standard reading; R. Judah gives 4c parapet with spikes excluded.,Conflict,"[""https://app.notion.com/3c60b963e60081a38da7c81ef15d9c63""]",Z/Height,0.525m,Parapet · 3 cubits
3c60b963-e600-8104-868d-f7505a3b8abc,https://app.notion.com/3c60b963e6008104868df7505a3b8abc,2026-08-24 06:16:04Z,B,MID70,70,36.75,cubit,M-SANCT-BODY-Y70,SANCTUARY,Josephus gives 60c rear/body width; preserve separately.,Middot body width behind 100c Ulam façade.,Conflict,"[""https://app.notion.com/3c60b963e60081d8adc4ff0eb75baa65""]",Y/N-S,0.525m,Sanctuary body width · 70 cubits
3c60b963-e600-8108-b18a-c11912dfb5fe,https://app.notion.com/3c60b963e6008108b18ac11912dfb5fe,2026-08-24 06:43:04Z,B,HISTORICAL_SURVEY_PEF1880,42,12.8016,foot,M-PEF1880-DOUBLE-TOTAL-W42FT,SUB-040,This 42ft total conflicts slightly with later 41ft tunnel-width wording; both retained.,PEF 1880: total width of Double Gate c.42 ft.,Candidate,"[""https://app.notion.com/3c60b963e600814b9fffeaa860b069cb""]",Width,N/A,Double Gate total portal width · 42ft
3c60b963-e600-810a-9cea-e96cef7fbf58,https://app.notion.com/3c60b963e600810a9ceae96cef7fbf58,2026-08-24 05:26:23Z,B,MID,16,8.4,cubit,M-ALT-RAMP-W,ALTAR_RAMP,,Ramp width.,Candidate,"[""https://app.notion.com/3c60b963e600814dbe16d661ef20f129""]",Width,0.525m,Altar ramp width · 16 cubits
3c60b963-e600-810b-9a47-c439c6f1d88d,https://app.notion.com/3c60b963e600810b9a47c439c6f1d88d,2026-08-24 06:32:55Z,A,PHYSICAL_A9477,2.5,2.5,meter,M-SOUTH-CELL-W,SUB-011/SUB-020,Average only; individual cells should follow Fig. 8/field plan when extracted.,IAA 2026 Area B average rectangular cell width.,Candidate,"[""https://app.notion.com/3c60b963e60081b18759cc5641abd6c6""]",Width,N/A,Southern foundation support cell · average width
3c60b963-e600-810e-8ba9-f688bca2dcf8,https://app.notion.com/3c60b963e600810e8ba9f688bca2dcf8,2026-08-24 06:16:04Z,B,HEIGHT_STD,40,21,cubit,M-SANCT-MAIN-INT-Z,SANCT_HEIGHT,,Main interior clear height.,Locked,"[""https://app.notion.com/3c60b963e60081a38da7c81ef15d9c63""]",Z/Height,0.525m,Main Hekhal interior height · 40 cubits
3c60b963-e600-8110-898f-c9d9effe97d3,https://app.notion.com/3c60b963e6008110898fc9d9effe97d3,2026-08-24 07:46:27Z,A,MID_DERIVED_STANDARD_STEP,7.5,3.9375,cubit,M-WOMEN-ISRAEL-TOTAL-RUN7_5C,WOMEN-NICANOR-STEPS,"This is stair tread run, not Nicanor gatehouse thickness.",Derived radial stair run if Middot 2:3 0.5c tread rule is applied to all 15 semicircular steps. Gatehouse depth remains separate/unresolved.,Candidate,"[""https://app.notion.com/3c60b963e60081e186bded86e836a012""]",X/E-W,0.525m,Women→Israel 15-step radial tread run · 7.5 cubits
